Date,Actual Temp,Predicted_temp_day1,Predicted_temp_day2,Predicted_temp_day3
2/6/24,31,29,29,28
3/6/24,28,28,27,27
4/6/24,28,26,26,26
5/6/24,27,26,26,26
6/6/24,26,28,27,28
7/6/24,26,26,26,26
8/6/24,26,26,25,25
9/6/24,26,25,25,26
10/6/24,26,25,26,26
11/6/24,24,26,26,26
12/6/24,27,26,26,26
13/6/24,27,27,27,28
14/6/24,28,27,27,26
15/6/24,29,27,28,26
16/6/24,29,28,28,28
17/6/24,27,28,28,27
18/6/24,29,29,28,28
19/6/24,29,28,28,27
20/6/24,30,28,27,26
21/6/24,27,27,26,27
22/6/24,27,26,27,27
23/6/24,26,28,28,27
24/6/24,29,28,28,26
25/6/24,28,28,26,26
26/6/24,26,26,27,27
27/6/24,26,28,27,28
28/6/24,26,27,27,28
29/6/24,26,27,28,28
30/6/24,24,28,28,28
1/7/24,27,27,27,27
2/7/24,27,28,27,26
3/7/24,28,28,26,26
4/7/24,28,27,26,26
5/7/24,25,26,26,26
6/7/24,24,26,25,26
7/7/24,27,25,26,26
8/7/24,26,26,26,26
