Date,Actual Temp,Predicted_temp_day1,Predicted_temp_day2,Predicted_temp_day3
2/6/2024,31,29,29,28
3/6/2024,28,28,27,27
4/6/2024,28,26,26,26
5/6/2024,27,26,26,26
6/6/2024,26,28,27,28
7/6/2024,26,26,26,26
8/6/2024,26,26,25,25
9/6/2024,26,25,25,26
10/6/2024,26,25,26,26
11/6/2024,24,26,26,26
12/6/2024,27,26,26,26
13/6/2024,27,27,27,28
14/6/2024,28,27,27,26
15/6/2024,29,27,28,26
16/6/2024,29,28,28,28
17/6/2024,27,28,28,27
18/6/2024,29,29,28,28
19/6/2024,29,28,28,27
20/6/2024,30,28,27,26
21/6/2024,27,27,26,27
22/6/2024,27,26,27,27
23/6/2024,26,28,28,27
24/6/2024,29,28,28,26
25/6/2024,28,28,26,26
26/6/2024,26,26,27,27
27/6/2024,26,28,27,28
28/6/2024,26,27,27,28
29/6/2024,26,27,28,28
30/6/2024,24,28,28,28
1/7/2024,27,27,27,27
2/7/2024,27,28,27,26
3/7/2024,28,28,26,26
4/7/2024,28,27,26,26
5/7/2024,25,26,26,26
6/7/2024,24,26,25,26
7/7/2024,27,25,26,26
8/7/2024,26,26,26,26
9/7/2024,26,26,27,25
10/7/2024,28,28,26,25
11/7/2024,27,26,24,24
